"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","417","shouldBeAbleToGetCourseDetails2","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.CoursesTest","Surefire test","com.qacart.academy.testcases.CoursesTest","shouldBeAbleToGetCourseDetails2"
"","398","shouldBeAbleToGetCoursesInfo3","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetCoursesInfo3"
"","573","shouldBeAbleToLoginToTheApplication7","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication7"
"","616","shouldBeAbleToLoginToTheApplication8","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication8"
"","656","test1","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.TestCase","Surefire test","com.qacart.TestCase","test1"
"","597","shouldBeAbleToLoginToTheApplication5","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication5"
"","712","shouldBeAbleToLoginToTheApplication4","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication4"
"","1413","shouldBeAbleToGetCourseDetails1","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.CoursesTest","Surefire test","com.qacart.academy.testcases.CoursesTest","shouldBeAbleToGetCourseDetails1"
"","644","shouldBeAbleToGetCoursesInfo4","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetCoursesInfo4"
"","191","test4","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.TestCase","Surefire test","com.qacart.TestCase","test4"
"","597","shouldBeAbleToLoginToTheApplication1","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication1"
"","561","shouldBeAbleToLoginToTheApplication2","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication2"
"","395","shouldBeAbleToGetLecturesInfo3","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetLecturesInfo3"
"","206","test3","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.TestCase","Surefire test","com.qacart.TestCase","test3"
"","200","test5","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.TestCase","Surefire test","com.qacart.TestCase","test5"
"","398","shouldBeAbleToGetCoursesInfo2","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetCoursesInfo2"
"","624","shouldBeAbleToLoginToTheApplication3","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication3"
"","400","shouldBeAbleToGetLecturesInfo1","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetLecturesInfo1"
"","401","shouldBeAbleToGetLecturesInfo2","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetLecturesInfo2"
"","220","test2","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.TestCase","Surefire test","com.qacart.TestCase","test2"
"","564","shouldBeAbleToLoginToTheApplication6","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.StudentsTest","Surefire test","com.qacart.academy.testcases.StudentsTest","shouldBeAbleToLoginToTheApplication6"
"","410","shouldBeAbleToGetCoursesInfo1","Surefire suite","2026-08-15","passed","2026-08-15","com.qacart.academy.testcases.InfoTest","Surefire test","com.qacart.academy.testcases.InfoTest","shouldBeAbleToGetCoursesInfo1"
